"","country","name","pvalue","x.l1","x.l2","x.l3"
"78","CA","NY.GDP.PCAP.CD",0.491357402192051,3.44524130890665e-06,-3.24726280257729e-06,-2.50752664478197e-07
"79","CH","NY.GDP.PCAP.CD",0.509809652242641,1.27703772404988e-06,-5.4503097806075e-07,-8.8764413440923e-07
"80","DE","NY.GDP.PCAP.CD",0.641206702777108,-1.94843235065332e-06,3.33893124289083e-06,-1.00545497303266e-06
"81","DK","NY.GDP.PCAP.CD",0.590925095563746,-1.10156533439792e-06,1.44598882204936e-06,NA
"82","ES","NY.GDP.PCAP.CD",0.679247208453667,2.35717485531138e-06,-7.15525822415886e-06,4.25842405304337e-06
"83","FI","NY.GDP.PCAP.CD",0.784639982329429,1.00932413824386e-06,-1.22432646468922e-06,NA
"84","FR","NY.GDP.PCAP.CD",0.95652472568802,1.13520645206373e-06,1.16007577866615e-07,-1.28160663369468e-06
"85","GB","NY.GDP.PCAP.CD",0.934508930427754,-4.52337722889107e-07,2.96354007603564e-07,NA
"86","GR","NY.GDP.PCAP.CD",0.489516526320276,6.4518158811146e-06,-6.246667038499e-06,NA
"87","IE","NY.GDP.PCAP.CD",0.922424802326265,-1.14509858579003e-06,1.22753685842845e-06,NA
"88","IT","NY.GDP.PCAP.CD",0.871770835011553,2.42601616981358e-06,-3.03059187664489e-06,5.70073988519114e-07
"89","JP","NY.GDP.PCAP.CD",0.421389002261964,-4.64538511471131e-06,-1.58766156420847e-07,8.47192194002712e-07
"90","LU","NY.GDP.PCAP.CD",0.308881162925062,1.5491907940262e-06,5.75723761167362e-07,-2.31071749673246e-06
"91","NL","NY.GDP.PCAP.CD",0.98393619332577,-4.66989126180225e-07,1.42448950422628e-06,-9.58357640811653e-07
"92","NO","NY.GDP.PCAP.CD",0.340997603174346,9.44374695332097e-07,1.34840522754454e-07,-1.3103848625729e-06
"93","PT","NY.GDP.PCAP.CD",0.433123810948545,9.06186040014637e-06,-6.06409582593869e-06,-1.10325961803325e-06
"94","SE","NY.GDP.PCAP.CD",0.697400555580345,-1.19191472100602e-06,9.15967130574097e-07,NA
"95","TR","NY.GDP.PCAP.CD",0.390406525827573,3.26196664733329e-05,-2.60167636928398e-05,NA
"96","US","NY.GDP.PCAP.CD",0.457805905368406,2.07435214745897e-05,-2.48422262275291e-05,3.70271071040745e-06
"97","MX","NY.GDP.PCAP.CD",0.851054757152615,-6.74266962811323e-07,2.53588032798052e-06,-1.47871831436978e-06
"98","CL","NY.GDP.PCAP.CD",0.276081915709743,-1.51971390927388e-06,-3.25385731143793e-08,9.38923410933953e-07
"99","CZ","NY.GDP.PCAP.CD",0.278672719712214,9.09646596392611e-07,-1.52409495621278e-06,4.48775374133237e-06
"100","IS","NY.GDP.PCAP.CD",0.374872481915936,2.84296956611973e-08,4.72796433311107e-06,-5.42347009134032e-06
"101","KR","NY.GDP.PCAP.CD",0.727384005044649,1.17479788938937e-05,-2.23622054882654e-05,1.09970984270105e-05
"102","PL","NY.GDP.PCAP.CD",0.918238823792417,2.09487774543067e-06,1.9520784634539e-06,-2.27484971836117e-06
"103","CR","NY.GDP.PCAP.CD",0.488165119750753,-7.03638685687578e-06,9.60069420013551e-06,-3.08644400599318e-06
"104","IL","NY.GDP.PCAP.CD",0.95226100970768,-5.14451425384934e-06,6.54381115493159e-06,-1.12903234817813e-06
"105","LV","NY.GDP.PCAP.CD",0.220601297756292,1.60764138979301e-05,-1.73911029081384e-05,1.39711819451071e-05
"106","SK","NY.GDP.PCAP.CD",0.196539530092097,6.92483619199941e-06,-4.52645468420372e-06,2.96715009745177e-06
"107","LT","NY.GDP.PCAP.CD",0.034259296137138,9.92678718579465e-06,-1.17030656591515e-05,8.10103469142524e-06
"108","SI","NY.GDP.PCAP.CD",0.0100078608529236,1.2889148317654e-05,-7.58695928175055e-06,7.62382069695325e-06
"109","EE","NY.GDP.PCAP.CD",0.587062466048665,5.95266543755185e-06,2.57388820326643e-06,-6.02692933188762e-06
"110","HU","NY.GDP.PCAP.CD",0.1864458862795,1.2978934574061e-05,-1.7812135716522e-05,7.71368085074264e-06
"111","CO","NY.GDP.PCAP.CD",0.445929977888107,-2.29969271947394e-06,1.11140747570035e-06,NA
"112","AT","SE.SEC.ENRR.FE",0.390740439680212,0.0028963776586468,-0.00503795011705068,0.000428222046060318
"113","AU","SE.SEC.ENRR.FE",0.184803190053339,0.00333092778469008,-0.00145454991770052,NA
"114","BE","SE.SEC.ENRR.FE",0.150332892263223,-0.000680187309533746,0.000863371531535461,NA
"115","CA","SE.SEC.ENRR.FE",0.0902837129626638,-0.00218261472363552,0.000808807475069504,NA
"116","CH","SE.SEC.ENRR.FE",0.264119995354521,0.00207190375757618,-0.00399655254039811,NA
